"filename", "language", "JSON with Comments", "SCSS", "JSON", "TypeScript", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\training-page\training-page.component.scss", "SCSS", 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\training-page\training-page.component.ts", "TypeScript", 0, 0, 0, 95, 0, 0, 0, 9, 104
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\voting-page\voting-page.component.html", "HTML", 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\voting-page\voting-page.component.scss", "SCSS", 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\main_pages\voting-page\voting-page.component.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 6, 41
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\models\event.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 13
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\models\user.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 10
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\app\models\voting.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 5
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\assets\styles\variables.scss", "SCSS", 0, 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\environments\environment.prod.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\environments\environment.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\index.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 1, 15
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\main.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 4, 8
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\src\styles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\tsconfig.app.json", "JSON", 0, 0, 13, 0, 0, 0, 1, 1, 15
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\tsconfig.json", "JSON with Comments", 32, 0, 0, 0, 0, 0, 1, 1, 34
"c:\Users\schmi\Desktop\Allgemein\Programmieren\Speicher\WebApps\MusikkorpsSueggerath\MusikkorpsSueggerathWeb\tsconfig.spec.json", "JSON", 0, 0, 13, 0, 0, 0, 1, 1, 15
"Total", "-", 51, 239, 24402, 968, 335, 14, 7, 248, 26264
